offline_datapoint_11 1701278493 31372,000
offline_datapoint_5 1701278493 3920,000
offline_datapoint_26 1701278493 610914304,000
offline_datapoint_14 1701278493 468934656,000
offline_datapoint_3 1701278493 8622854144,000
offline_datapoint_9 1701278493 82415616,000
offline_datapoint_25 1701278493 1868,000
offline_datapoint_19 1701278491 118,836
offline_datapoint_8 1701278491 6386,413
offline_datapoint_21 1701278493 82415616,000
offline_datapoint_1 1701278491 14,354
offline_datapoint_20 1701278493 5775732736,000
offline_datapoint_7 1701278493 4219105280,000
offline_datapoint_6 1701278491 0,000
offline_datapoint_12 1701278491 3,395
offline_datapoint_24 1701278491 1,173
offline_datapoint_13 1701278491 8743,097
offline_datapoint_18 1701278493 0,000
offline_datapoint_0 1701278491 15304,092
offline_datapoint_16 1701278491 1466,418
offline_datapoint_28 1701278491 0,479
offline_datapoint_17 1701278491 30,377
offline_datapoint_10 1701278491 99,509
offline_datapoint_29 1701278491 0,000
offline_datapoint_22 1701278491 21965,363
offline_datapoint_4 1701278491 0,005
offline_datapoint_11 1701278496 31372,000
offline_datapoint_5 1701278496 3940,000
offline_datapoint_26 1701278496 611004416,000
offline_datapoint_14 1701278496 468946944,000
offline_datapoint_3 1701278496 8649900032,000
offline_datapoint_9 1701278496 81559552,000
offline_datapoint_25 1701278496 1853,000
offline_datapoint_19 1701278494 5,657
offline_datapoint_8 1701278494 14955,372
offline_datapoint_21 1701278496 81559552,000
offline_datapoint_1 1701278494 0,998
offline_datapoint_20 1701278496 5804445696,000
offline_datapoint_7 1701278496 4254142464,000
offline_datapoint_6 1701278494 0,000
offline_datapoint_12 1701278494 3,012
offline_datapoint_24 1701278494 1,040
offline_datapoint_13 1701278494 8563,468
offline_datapoint_18 1701278496 0,000
offline_datapoint_0 1701278494 15834,845
offline_datapoint_16 1701278494 1732,992
offline_datapoint_28 1701278494 0,639
offline_datapoint_17 1701278494 28,284
offline_datapoint_10 1701278494 99,702
offline_datapoint_29 1701278494 6,988
offline_datapoint_22 1701278494 14504,659
offline_datapoint_4 1701278494 0,006
offline_datapoint_11 1701278499 31372,000
offline_datapoint_5 1701278499 3945,000
offline_datapoint_26 1701278499 611106816,000
offline_datapoint_14 1701278499 468971520,000
offline_datapoint_3 1701278499 8671834112,000
offline_datapoint_9 1701278499 81510400,000
offline_datapoint_25 1701278499 1834,000
offline_datapoint_19 1701278497 25,688
offline_datapoint_8 1701278497 15175,998
offline_datapoint_21 1701278499 81510400,000
offline_datapoint_1 1701278497 3,670
offline_datapoint_20 1701278499 5824884736,000
offline_datapoint_7 1701278499 4278857728,000
offline_datapoint_6 1701278497 0,000
offline_datapoint_12 1701278497 2,861
offline_datapoint_24 1701278497 0,847
offline_datapoint_13 1701278497 8229,020
offline_datapoint_18 1701278499 0,000
