offline_datapoint_11 1701293798 31232,000
offline_datapoint_5 1701293798 3893,000
offline_datapoint_26 1701293798 590741504,000
offline_datapoint_14 1701293798 464248832,000
offline_datapoint_3 1701293798 8664707072,000
offline_datapoint_9 1701293798 98566144,000
offline_datapoint_25 1701293798 1649,000
offline_datapoint_19 1701293796 83,692
offline_datapoint_8 1701293796 5151,703
offline_datapoint_21 1701293798 98566144,000
offline_datapoint_1 1701293796 10,825
offline_datapoint_20 1701293798 5848907776,000
offline_datapoint_7 1701293798 4534235136,000
offline_datapoint_6 1701293796 0,000
offline_datapoint_12 1701293796 2,809
offline_datapoint_24 1701293796 0,980
offline_datapoint_13 1701293796 10143,677
offline_datapoint_18 1701293798 0,000
offline_datapoint_0 1701293796 17526,826
offline_datapoint_16 1701293796 1269,907
offline_datapoint_28 1701293796 0,436
offline_datapoint_17 1701293796 24,025
offline_datapoint_10 1701293796 99,619
offline_datapoint_29 1701293796 2,904
offline_datapoint_22 1701293796 19759,824
offline_datapoint_4 1701293796 0,004
offline_datapoint_11 1701293800 31232,000
offline_datapoint_5 1701293800 3887,000
offline_datapoint_26 1701293800 590745600,000
offline_datapoint_14 1701293800 464248832,000
offline_datapoint_3 1701293800 8663572480,000
offline_datapoint_9 1701293800 98488320,000
offline_datapoint_25 1701293800 1646,000
offline_datapoint_19 1701293799 16,243
offline_datapoint_8 1701293799 323,953
offline_datapoint_21 1701293800 98488320,000
offline_datapoint_1 1701293799 1,354
offline_datapoint_20 1701293800 5846634496,000
offline_datapoint_7 1701293800 4536000512,000
offline_datapoint_6 1701293799 0,000
offline_datapoint_12 1701293799 0,706
offline_datapoint_24 1701293799 0,529
offline_datapoint_13 1701293799 7169,370
offline_datapoint_18 1701293800 0,000
offline_datapoint_0 1701293799 12496,542
offline_datapoint_16 1701293799 548,644
offline_datapoint_28 1701293799 0,478
offline_datapoint_17 1701293799 6,317
offline_datapoint_10 1701293799 99,708
offline_datapoint_29 1701293799 0,000
offline_datapoint_22 1701293799 15798,857
offline_datapoint_4 1701293799 0,005
offline_datapoint_11 1701293803 31232,000
offline_datapoint_5 1701293803 3927,000
offline_datapoint_26 1701293803 591024128,000
offline_datapoint_14 1701293803 465145856,000
offline_datapoint_3 1701293803 8682979328,000
offline_datapoint_9 1701293803 98844672,000
offline_datapoint_25 1701293803 1638,000
offline_datapoint_19 1701293801 184,821
offline_datapoint_8 1701293801 11726,475
offline_datapoint_21 1701293803 98844672,000
offline_datapoint_1 1701293801 35,236
offline_datapoint_20 1701293803 5863538688,000
offline_datapoint_7 1701293803 4569206784,000
offline_datapoint_6 1701293801 0,065
offline_datapoint_12 1701293801 2,938
offline_datapoint_24 1701293801 1,948
offline_datapoint_13 1701293801 11453,898
offline_datapoint_18 1701293803 0,000
offline_datapoint_0 1701293801 20524,407
offline_datapoint_16 1701293801 1868,152
offline_datapoint_28 1701293801 1,184
offline_datapoint_17 1701293801 61,164
offline_datapoint_10 1701293801 99,033
offline_datapoint_29 1701293801 7,978
offline_datapoint_22 1701293801 18354,087
offline_datapoint_4 1701293801 0,012
offline_datapoint_11 1701293806 31232,000
offline_datapoint_5 1701293806 3924,000
offline_datapoint_26 1701293806 591028224,000
offline_datapoint_14 1701293806 465162240,000
offline_datapoint_3 1701293806 8680161280,000
offline_datapoint_9 1701293806 98811904,000
offline_datapoint_25 1701293806 1630,000
offline_datapoint_19 1701293804 123,705
offline_datapoint_8 1701293804 391,508
offline_datapoint_21 1701293806 98811904,000
offline_datapoint_1 1701293804 19,392
offline_datapoint_20 1701293806 5860880384,000
offline_datapoint_7 1701293806 4568784896,000
offline_datapoint_6 1701293804 0,000
offline_datapoint_12 1701293804 1,074
offline_datapoint_24 1701293804 0,718
offline_datapoint_13 1701293804 7233,706
offline_datapoint_18 1701293806 0,000
offline_datapoint_0 1701293804 12547,317
offline_datapoint_16 1701293804 418,589
offline_datapoint_28 1701293804 0,672
offline_datapoint_17 1701293804 27,416
offline_datapoint_10 1701293804 99,527
offline_datapoint_29 1701293804 1,337
offline_datapoint_22 1701293804 20879,610
offline_datapoint_4 1701293804 0,007
offline_datapoint_11 1701293809 31232,000
offline_datapoint_5 1701293809 3926,000
offline_datapoint_26 1701293809 591077376,000
offline_datapoint_14 1701293809 465252352,000
offline_datapoint_3 1701293809 8693059584,000
offline_datapoint_9 1701293809 99401728,000
offline_datapoint_25 1701293809 1620,000
offline_datapoint_19 1701293807 76,435
offline_datapoint_8 1701293807 12264,666
offline_datapoint_21 1701293809 99401728,000
offline_datapoint_1 1701293807 24,032
offline_datapoint_20 1701293809 5874413568,000
offline_datapoint_7 1701293809 4571844608,000
offline_datapoint_6 1701293807 0,000
offline_datapoint_12 1701293807 2,015
