1701289292	0	1701289293
1701289293	2	1701289295
1701289295	3	1701289296
1701289296	4	1701289297
1701289297	5	1701289298
1701289298	7	1701289300
1701289300	8	1701289301
1701289301	9	1701289302
1701289302	10	1701290622
1701290622	11	1701290623
1701290623	12	1701290624
1701290624	13	1701290625
1701290625	14	1701290626
1701290626	15	1701290627
1701290627	16	1701290628
1701290628	17	1701290629
1701290629	18	1701290630
1701290630	19	1701290631
1701290631	20	1701291951
1701291951	21	1701291952
1701291952	22	1701291953
1701291953	23	1701291954
1701291954	24	1701291955
1701291955	25	1701291956
1701291956	26	1701291957
1701291957	27	1701291958
1701291958	28	1701291959
1701291959	29	1701291960
1701291960	30	1701293280
1701293280	31	1701293281
1701293281	32	1701293282
1701293282	33	1701293283
1701293283	34	1701293284
1701293284	35	1701293286
1701293286	36	1701293287
1701293287	37	1701293288
1701293288	38	1701293289
1701293289	39	1701293290
1701293290	40	1701294610
1701294610	41	1701294611
1701294611	42	1701294612
1701294612	43	1701294613
1701294613	44	1701294614
1701294614	45	1701294615
1701294615	46	1701294616
1701294616	47	1701294617
1701294617	48	1701294618
1701294618	49	1701294619
1701294619	50	1701295949
1701295949	49	1701295950
1701295950	48	1701295952
1701295952	46	1701295954
1701295954	44	1701295955
1701295955	43	1701295956
1701295956	42	1701295961
1701295961	41	1701295965
1701295965	40	1701295966
1701295966	39	1701295970
1701295970	38	1701295973
1701295973	37	1701295977
1701295977	36	1701295979
1701295979	34	1701295980
1701295980	33	1701295985
1701295985	32	1701295987
1701295987	30	1701295989
1701295989	29	1701295990
1701295990	25	1701295994
1701295994	20	1701295996
1701295996	18	1701295997
1701295997	17	1701295998
1701295998	15	1701295999
1701295999	13	1701296002
1701296002	12	1701296003
1701296003	10	1701296004
1701296004	5	1701296005
1701296005	2	1701296006
1701296006	1	1701296012
