1701304597	0	1701304597
1701304597	1	1701304602
1701304602	2	1701304607
1701304607	3	1701304612
1701304612	4	1701304617
1701304617	5	1701304622
1701304622	6	1701304627
1701304627	7	1701304632
1701304632	8	1701304637
1701304637	9	1701304642
1701304642	10	1701304647
1701304647	11	1701304652
1701304652	12	1701304657
1701304657	13	1701304662
1701304662	14	1701304667
1701304667	15	1701304672
1701304672	16	1701304678
1701304678	17	1701304683
1701304683	18	1701304688
1701304688	19	1701304693
1701304693	20	1701304698
1701304698	21	1701304703
1701304703	22	1701304708
1701304708	23	1701304713
1701304713	24	1701304718
1701304718	25	1701304723
1701304723	26	1701304728
1701304728	27	1701304733
1701304733	28	1701304738
1701304738	29	1701304743
1701304743	30	1701308468
1701308468	29	1701308473
1701308473	27	1701308478
1701308478	26	1701308483
1701308483	25	1701308488
1701308488	24	1701308493
1701308493	23	1701308498
1701308498	22	1701308508
1701308508	21	1701308513
1701308513	19	1701308518
1701308518	18	1701308528
1701308528	17	1701308533
1701308533	15	1701308538
1701308538	14	1701308543
1701308543	13	1701308548
1701308548	12	1701308558
1701308558	11	1701308563
1701308563	9	1701308568
1701308568	8	1701308578
1701308578	7	1701308583
1701308583	5	1701308589
1701308589	4	1701308594
1701308594	3	1701308599
1701308599	2	1701308609
1701308609	1	1701308613
